Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,sepal_area
1,5.1,3.5,1.4,0.2,Iris-setosa,6.1
2,4.9,3.0,1.4,0.2,Iris-setosa,6.9
3,4.7,3.2,1.3,0.2,Iris-setosa,7.7
4,4.6,3.1,1.5,0.2,Iris-setosa,8.6
5,5.0,3.6,1.4,0.2,Iris-setosa,10.0
6,5.4,3.9,1.7,0.4,Iris-setosa,11.4
7,4.6,3.4,1.4,0.3,Iris-setosa,11.6
8,5.0,3.4,1.5,0.2,Iris-setosa,13.0
9,4.4,2.9,1.4,0.2,Iris-setosa,13.4
10,4.9,3.1,1.5,0.1,Iris-setosa,14.9
11,5.4,3.7,1.5,0.2,Iris-setosa,16.4
12,4.8,3.4,1.6,0.2,Iris-setosa,16.8
13,4.8,3.0,1.4,0.1,Iris-setosa,17.8
14,4.3,3.0,1.1,0.1,Iris-setosa,18.3
15,5.8,4.0,1.2,0.2,Iris-setosa,20.8
16,5.7,4.4,1.5,0.4,Iris-setosa,21.7
17,5.4,3.9,1.3,0.4,Iris-setosa,22.4
18,5.1,3.5,1.4,0.3,Iris-setosa,23.1
19,5.7,3.8,1.7,0.3,Iris-setosa,24.7
20,5.1,3.8,1.5,0.3,Iris-setosa,25.1
21,5.4,3.4,1.7,0.2,Iris-setosa,26.4
22,5.1,3.7,1.5,0.4,Iris-setosa,27.1
23,4.6,3.6,1.0,0.2,Iris-setosa,27.6
24,5.1,3.3,1.7,0.5,Iris-setosa,29.1
25,4.8,3.4,1.9,0.2,Iris-setosa,29.8
26,5.0,3.0,1.6,0.2,Iris-setosa,31.0
27,5.0,3.4,1.6,0.4,Iris-setosa,32.0
28,5.2,3.5,1.5,0.2,Iris-setosa,33.2
29,5.2,3.4,1.4,0.2,Iris-setosa,34.2
30,4.7,3.2,1.6,0.2,Iris-setosa,34.7
31,4.8,3.1,1.6,0.2,Iris-setosa,35.8
32,5.4,3.4,1.5,0.4,Iris-setosa,37.4
33,5.2,4.1,1.5,0.1,Iris-setosa,38.2
34,5.5,4.2,1.4,0.2,Iris-setosa,39.5
35,4.9,3.1,1.5,0.1,Iris-setosa,39.9
36,5.0,3.2,1.2,0.2,Iris-setosa,41.0
37,5.5,3.5,1.3,0.2,Iris-setosa,42.5
38,4.9,3.1,1.5,0.1,Iris-setosa,42.9
39,4.4,3.0,1.3,0.2,Iris-setosa,43.4
40,5.1,3.4,1.5,0.2,Iris-setosa,45.1
41,5.0,3.5,1.3,0.3,Iris-setosa,46.0
42,4.5,2.3,1.3,0.3,Iris-setosa,46.5
43,4.4,3.2,1.3,0.2,Iris-setosa,47.4
44,5.0,3.5,1.6,0.6,Iris-setosa,49.0
